ts,d
12/28/2015,97.3
12/29/2015,96.4
12/30/2015,
12/31/2015,
1/1/2016,99.1
1/2/2016,96.9
1/3/2016,96.6
1/4/2016,98.2
1/5/2016,99
1/6/2016,97.8
1/7/2016,98
1/8/2016,97.7
1/9/2016,96.6
1/10/2016,96.1
1/11/2016,95.9
1/12/2016,95.9
1/13/2016,95.9
1/14/2016,95.8
1/15/2016,96.3
1/16/2016,96.1
1/17/2016,97.4
1/18/2016,96.8
1/19/2016,96.2
1/20/2016,95.7
1/21/2016,96.3
1/22/2016,97.3
1/23/2016,96.3
1/24/2016,95.4
1/25/2016,96.3
1/26/2016,96.1
1/27/2016,95.3
1/28/2016,95.6
1/29/2016,
1/30/2016,
1/31/2016,
2/1/2016,96.1
2/2/2016,95.9
2/3/2016,95.5
2/4/2016,95
2/5/2016,96.2
2/6/2016,95.3
2/7/2016,96
2/8/2016,96
2/9/2016,95.2
2/10/2016,95.4
2/11/2016,94.5
2/12/2016,94.7
2/13/2016,94.5
2/14/2016,94.2
2/15/2016,95
2/16/2016,95.1
2/17/2016,94.6
2/18/2016,95
2/19/2016,94.5
2/20/2016,93.9
2/21/2016,94.7
2/22/2016,94.5
2/23/2016,95.1
2/24/2016,94.8
2/25/2016,95.3
2/26/2016,95.2
2/27/2016,94.6
2/28/2016,95.5
2/29/2016,
3/1/2016,95.5
3/2/2016,95.1
3/3/2016,94.8
3/4/2016,94.4
3/5/2016,93.8
3/6/2016,94
3/7/2016,95.4
3/8/2016,95.3
3/9/2016,94.8
3/10/2016,95.5
3/11/2016,95
3/12/2016,
3/13/2016,95.3
3/14/2016,93.9
3/15/2016,93.5
3/16/2016,93.4
3/17/2016,94.1
3/18/2016,94
3/19/2016,93.9
3/20/2016,94.4
3/21/2016,94.3
3/22/2016,95
3/23/2016,94.6
3/24/2016,95.5
3/25/2016,95
3/26/2016,94.5
3/27/2016,93.8
3/28/2016,94.2
3/29/2016,94.1
3/30/2016,94.4
3/31/2016,95.2
4/1/2016,94.6
4/2/2016,94.6
4/3/2016,95.3
4/4/2016,93.4
4/5/2016,94
4/6/2016,93.7
4/7/2016,94.1
4/8/2016,93.9
4/9/2016,94.2
4/10/2016,94.5
4/11/2016,94
4/12/2016,94.4
4/13/2016,
4/14/2016,94.8
4/15/2016,94.3
4/16/2016,94.8
4/17/2016,96.8
4/18/2016,94.1
4/19/2016,94
4/20/2016,94.6
4/21/2016,96.7
4/22/2016,95.5
4/23/2016,95.6
4/24/2016,
4/25/2016,
4/26/2016,
4/27/2016,
4/28/2016,
4/29/2016,
4/30/2016,
5/1/2016,95.5
5/2/2016,94.9
5/3/2016,94.8
5/4/2016,94.8
5/5/2016,95.6
5/6/2016,95.1
5/7/2016,
5/8/2016,
5/9/2016,94.6
5/10/2016,94.6
5/11/2016,94.7
5/12/2016,95.8
5/13/2016,95.8
5/14/2016,95.8
5/15/2016,95.8
5/16/2016,94.7
5/17/2016,95.4
5/18/2016,95.4
5/19/2016,96
5/20/2016,95.4
5/21/2016,96.1
5/22/2016,95.2
5/23/2016,95.2
5/24/2016,95.2
5/25/2016,94.6
5/26/2016,95.3
5/27/2016,94.8
5/28/2016,
5/29/2016,
5/30/2016,97.9
5/31/2016,95.8
6/1/2016,95.8
6/2/2016,
6/3/2016,96.8
6/4/2016,
6/5/2016,95.9
6/6/2016,96.5
6/7/2016,96.5
6/8/2016,96.5
6/9/2016,97.4
6/10/2016,96.7
6/11/2016,96.7
6/12/2016,97.1
